[18:40:58 WRN] Failed to determine the https port for redirect.
[18:52:37 INF] HTTP GET /api/v1/notifications/my responded 200 in 2.7637 ms
[18:52:37 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 7.6443 ms
[18:52:37 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.4526 ms
[18:52:37 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.4642 ms
[18:52:40 INF] HTTP GET /api/v1/patients responded 200 in 8.0314 ms
[18:52:40 INF] HTTP GET /api/v1/patients responded 200 in 1.1734 ms
[18:52:40 INF] HTTP GET /api/v1/patients responded 200 in 1.5331 ms
[18:52:40 INF] HTTP GET /api/v1/patients responded 200 in 1.2022 ms
[18:52:41 INF] HTTP GET /api/v1/patients responded 200 in 1.0410 ms
[18:52:41 INF] HTTP GET /api/v1/doctors responded 200 in 2.1635 ms
[18:52:41 INF] HTTP GET /api/v1/appointments responded 200 in 2.3141 ms
[18:52:41 INF] HTTP GET /api/v1/departments responded 200 in 5.7480 ms
[18:52:41 INF] HTTP GET /api/v1/patients responded 200 in 1.8142 ms
[18:52:41 INF] HTTP GET /api/v1/departments responded 200 in 1.9395 ms
[18:52:41 INF] HTTP GET /api/v1/doctors responded 200 in 2.8940 ms
[18:52:41 INF] HTTP GET /api/v1/appointments responded 200 in 3.8096 ms
[18:52:41 INF] HTTP GET /api/v1/departments responded 200 in 1.2702 ms
[18:52:41 INF] HTTP GET /api/v1/patients responded 200 in 1.0572 ms
[18:52:41 INF] HTTP GET /api/v1/appointments responded 200 in 1.2454 ms
[18:52:41 INF] HTTP GET /api/v1/doctors responded 200 in 1.3080 ms
[18:52:41 INF] HTTP GET /api/v1/departments responded 200 in 1.2354 ms
[18:52:41 INF] HTTP GET /api/v1/patients responded 200 in 1.2747 ms
[18:52:41 INF] HTTP GET /api/v1/appointments responded 200 in 1.3252 ms
[18:52:41 INF] HTTP GET /api/v1/doctors responded 200 in 1.2994 ms
[18:52:47 INF] HTTP GET /api/v1/departments responded 200 in 0.9820 ms
[18:52:47 INF] HTTP GET /api/v1/appointments responded 200 in 1.5066 ms
[18:52:47 INF] HTTP GET /api/v1/pharmacy/medicines responded 200 in 8.0690 ms
[18:52:47 INF] HTTP GET /api/v1/appointments responded 200 in 1.2201 ms
[18:52:47 INF] HTTP GET /api/v1/departments responded 200 in 1.2661 ms
[18:52:47 INF] HTTP GET /api/v1/laboratory/catalog responded 200 in 14.7027 ms
[18:52:47 INF] HTTP GET /api/v1/pharmacy/medicines responded 200 in 1.5780 ms
[18:52:47 INF] HTTP GET /api/v1/laboratory/catalog responded 200 in 1.7158 ms
[18:52:47 INF] HTTP GET /api/v1/pharmacy/medicines responded 200 in 1.4335 ms
[18:52:47 INF] HTTP GET /api/v1/appointments responded 200 in 1.8343 ms
[18:52:47 INF] HTTP GET /api/v1/departments responded 200 in 1.8929 ms
[18:52:47 INF] HTTP GET /api/v1/laboratory/catalog responded 200 in 2.7126 ms
[18:52:47 INF] HTTP GET /api/v1/pharmacy/medicines responded 200 in 1.8184 ms
[18:52:47 INF] HTTP GET /api/v1/departments responded 200 in 1.2493 ms
[18:52:47 INF] HTTP GET /api/v1/laboratory/catalog responded 200 in 1.2495 ms
[18:52:47 INF] HTTP GET /api/v1/appointments responded 200 in 1.2762 ms
[18:52:50 INF] HTTP GET /api/v1/appointments responded 200 in 1.3580 ms
[18:52:50 INF] HTTP GET /api/v1/patients responded 200 in 1.1353 ms
[18:52:50 INF] HTTP GET /api/v1/doctors responded 200 in 1.2960 ms
[18:52:50 INF] HTTP GET /api/v1/departments responded 200 in 1.2431 ms
[18:52:50 INF] HTTP GET /api/v1/doctors responded 200 in 2.0831 ms
[18:52:50 INF] HTTP GET /api/v1/departments responded 200 in 2.2497 ms
[18:52:50 INF] HTTP GET /api/v1/appointments responded 200 in 1.8446 ms
[18:52:50 INF] HTTP GET /api/v1/patients responded 200 in 1.4795 ms
[18:52:51 INF] HTTP GET /api/v1/appointments responded 200 in 2.5174 ms
[18:52:51 INF] HTTP GET /api/v1/departments responded 200 in 0.7058 ms
[18:52:51 INF] HTTP GET /api/v1/doctors responded 200 in 1.5553 ms
[18:52:51 INF] HTTP GET /api/v1/patients responded 200 in 0.9016 ms
[18:52:51 INF] HTTP GET /api/v1/appointments responded 200 in 1.6122 ms
[18:52:51 INF] HTTP GET /api/v1/patients responded 200 in 1.1176 ms
[18:52:51 INF] HTTP GET /api/v1/departments responded 200 in 1.3391 ms
[18:52:51 INF] HTTP GET /api/v1/doctors responded 200 in 1.3552 ms
[18:52:54 INF] HTTP GET /api/v1/patients responded 200 in 1.4067 ms
[18:52:54 INF] HTTP GET /api/v1/patients responded 200 in 3.1969 ms
[18:52:54 INF] HTTP GET /api/v1/patients responded 200 in 1.8437 ms
[18:52:54 INF] HTTP GET /api/v1/patients responded 200 in 1.2360 ms
[18:52:56 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.2638 ms
[18:52:56 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.4527 ms
[18:52:57 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 0.8804 ms
[18:52:57 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.3409 ms
[18:52:57 INF] HTTP GET /api/v1/notifications/my responded 200 in 0.7724 ms
[18:53:00 INF] HTTP POST /api/v1/auth/logout responded 204 in 8.3658 ms
[18:53:04 INF] HTTP POST /api/v1/auth/login responded 200 in 189.0000 ms
[18:53:04 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.6459 ms
[18:53:04 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.5207 ms
[18:53:04 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.4613 ms
[18:53:04 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.6257 ms
[18:53:11 INF] HTTP GET /api/v1/patients responded 200 in 1.3966 ms
[18:53:11 INF] HTTP GET /api/v1/appointments responded 200 in 1.4797 ms
[18:53:11 INF] HTTP GET /api/v1/departments responded 200 in 1.4970 ms
[18:53:11 INF] HTTP GET /api/v1/doctors responded 200 in 1.7881 ms
[18:53:11 INF] HTTP GET /api/v1/departments responded 200 in 3.0503 ms
[18:53:11 INF] HTTP GET /api/v1/patients responded 200 in 2.6215 ms
[18:53:11 INF] HTTP GET /api/v1/doctors responded 200 in 2.3987 ms
[18:53:11 INF] HTTP GET /api/v1/appointments responded 200 in 5.2611 ms
[18:53:11 INF] HTTP GET /api/v1/appointments responded 200 in 1.2806 ms
[18:53:11 INF] HTTP GET /api/v1/patients responded 200 in 1.1518 ms
[18:53:11 INF] HTTP GET /api/v1/doctors responded 200 in 1.2487 ms
[18:53:11 INF] HTTP GET /api/v1/departments responded 200 in 1.4863 ms
[18:53:11 INF] HTTP GET /api/v1/doctors responded 200 in 1.4201 ms
[18:53:11 INF] HTTP GET /api/v1/patients responded 200 in 1.4189 ms
[18:53:11 INF] HTTP GET /api/v1/departments responded 200 in 1.1504 ms
[18:53:11 INF] HTTP GET /api/v1/appointments responded 200 in 1.4023 ms
[18:53:13 INF] HTTP GET /api/v1/patients responded 200 in 1.5189 ms
[18:53:13 INF] HTTP GET /api/v1/patients responded 200 in 1.6829 ms
[18:53:13 INF] HTTP GET /api/v1/patients responded 200 in 1.5789 ms
[18:53:13 INF] HTTP GET /api/v1/patients responded 200 in 1.6024 ms
[18:53:16 INF] HTTP GET /api/v1/doctors responded 200 in 0.8574 ms
[18:53:16 INF] HTTP GET /api/v1/departments responded 200 in 0.8543 ms
[18:53:16 INF] HTTP GET /api/v1/appointments responded 200 in 1.6019 ms
[18:53:16 INF] HTTP GET /api/v1/patients responded 200 in 1.2559 ms
[18:53:16 INF] HTTP GET /api/v1/departments responded 200 in 1.7657 ms
[18:53:16 INF] HTTP GET /api/v1/doctors responded 200 in 1.7451 ms
[18:53:16 INF] HTTP GET /api/v1/patients responded 200 in 1.4983 ms
[18:53:16 INF] HTTP GET /api/v1/appointments responded 200 in 2.1491 ms
[18:53:16 INF] HTTP GET /api/v1/appointments responded 200 in 1.6150 ms
[18:53:16 INF] HTTP GET /api/v1/departments responded 200 in 1.9847 ms
[18:53:16 INF] HTTP GET /api/v1/doctors responded 200 in 2.2231 ms
[18:53:16 INF] HTTP GET /api/v1/patients responded 200 in 1.3381 ms
[18:53:16 INF] HTTP GET /api/v1/appointments responded 200 in 1.2995 ms
[18:53:16 INF] HTTP GET /api/v1/departments responded 200 in 1.1590 ms
[18:53:16 INF] HTTP GET /api/v1/doctors responded 200 in 1.9819 ms
[18:53:16 INF] HTTP GET /api/v1/patients responded 200 in 2.5832 ms
[18:53:16 INF] HTTP GET /api/v1/beds responded 200 in 1.8122 ms
